epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8135,1.93725,3.86988,1.87439,0.00568,0.64,0.18902,0.11652,1.61331,3.57898,1.66321,0.0001111,0.0001111,0.0001111
2,100.125,1.64667,3.40613,1.57738,0.00846,0.74,0.34121,0.18568,1.43412,3.39378,1.45522,0.00022869,0.00022869,0.00022869
